排名,电影名称,导演,主演,Unnamed: 4,Unnamed: 5,上映年份,国家/地区,类型,评分,评价人数,简介,主要国家
115,剪刀手爱德华 ?/?幻海奇缘(港)  /  剪刀手爱德华,导演:,,,主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,"['剧情', '爱情', '奇幻']",8.7,1098099,,美国
116,断背山 ?/?断臂山  /  BBM,导演:,,,主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,"['剧情', '爱情', '同性', '家庭']",8.8,759403,每个人心中都有一座断背山。,美国
117,菊次郎的夏天 ?/?菊次郎之夏  /  Kikujir? no natsu,导演:,,,主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,"['剧情', '喜剧']",8.9,653693,,日本
118,勇敢的心 ?/?惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),导演:,,,主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,"['动作', '传记', '剧情', '历史', '战争']",8.9,592550,,美国
119,未麻的部屋 ?/?蓝色恐惧(港 / 台) ,导演:,,,主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,"['剧情', '犯罪', '动画', '悬疑', '惊悚']",9.1,402555,,日本
120,哈利·波特与火焰杯 ?/?哈利波特4：火杯的考验(港 / 台) ,导演:,,,主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,"['悬疑', '奇幻', '冒险']",8.8,766412,,英国
121,借东西的小人阿莉埃蒂 ?/?借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),导演:,,,主演: 志田未来 Mirai Shida / 神木...,2010,日本,"['动画', '奇幻', '冒险']",8.9,607104,曾经的那段美好会沉淀为一辈子的记忆。,日本
122,茶馆 ?/?The Teahouse,导演:,,,主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,"['剧情', '历史']",9.6,190695,,中国大陆
123,头脑特工队 ?/?玩转脑朋友(港)  /  脑筋急转弯(台),导演:,,&nb...,,2015,美国,"['喜剧', '动画', '冒险']",8.8,761282,愿我们都不用长大，每一座城堡都能永远存在。,美国
124,时空恋旅人 ?/?回到最爱的一天(港)  /  真爱每一天(台),导演:,,,主演: 多姆纳尔·格里森 Domhnall Gl...,2013,英国 美国,"['喜剧', '爱情', '奇幻']",8.8,757598,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,英国
125,消失的爱人 ?/?失踪的女孩  /  失踪女孩,导演:,,,主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,"['剧情', '犯罪', '悬疑', '惊悚']",8.7,1042120,年度最佳date movie。,美国
126,无人知晓 ?/?谁知赤子心(港)  /  无人知晓的夏日清晨(台),导演:,,,主演: 柳乐优弥 Y?ya Yagira / 北浦爱...,2004,日本,['剧情'],9.1,359748,我的平常生活就是他人的幸福。,日本
127,倩女幽魂 ?/?倩女幽魂(87版)  /  倩女幽魂：妖魔道,导演:,,,主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,"['爱情', '奇幻', '武侠', '古装']",8.8,813270,,中国香港
